Name,Description,Writer
Fan Token,"A Fan Token is a limited-production, finite digital asset whose ownership is recorded in a secure blockchain ledger. With Fan Tokens, you gain lifetime access to a private fan club with VIP rewards, promotions, games, and the opportunity to interact with other superfans. Token holders are also entitled to vote on team decisions and get other perks, such as signed gear. Most fan tokens, like the Manchester City Fan Token (CITY) and Juventus Fan Token (JUV) are run on the Chiliz blockchain.",Đức
Fantom Ecosystem,"One of the biggest rivals of Ethereum is Fantom, a decentralized, permissionless, open-source layer-1 blockchain that enables dApps. The blockchain architecture is based on a consensus layer integrating several chains of execution. Fantom Foundation developed Lachesis as the base layer for its Lachesis protocol, Fantom's version of the Ethereum Virtual Machine. Aspects of the Proof-of-Work blockchain like transaction fees and slow transaction finality are improved by using DAG (Directed Acyclic Graph) technology.",Đức
Finance,"A blockchain could streamline banking and lending services by reducing counterparty risk and decreasing issuance and settlement times. Some of the biggest platform specialized in finance are NEXO and the DeFi platform KAVA. By collating user activity and sanctioned data across a network, it allows for the authentication of documentation and the gathering of KYC/AML data, as well as credit prediction and scoring. Blockchain technology also automates syndicate formation, underwriting, and disbursement of funds, such as principal and interest payments, reducing cost, delay, and friction. As well as facilitating collateralization, digitization allows for real-time asset management, tracking, and enforcement of regulatory controls.",Đức
FTX Launchpad,"FTX is a cryptocurrency exchange that offers crypto trading, options, volatility products, and leveraged tokens. Recently, it expanded its service offerings by adding Launchpad. FTX Launchpad is a platform where early-stage projects can raise funds by selling tokens for funds. Among the most well-known DEX are Serum (SRM) and Bonfida (FIDA), a full product suite that bridges the gap between Serum, Solana, and the users",Đức
Gaming,"Blockchain plays a huge role in gaming because It is beneficial for game developers and entrepreneurs to use cryptocurrency for in-game purchases, as it provides a safe and secure environment. In gaming, blockchain enables players to create interoperable profiles of themselves and to buy and sell in-game assets securely. Blockchain gaming also allows players to store their in-game assets securely as well as own them fully, allowing them to have full control over their favorite games. Some of the most popular blockchain-powered games are Axie Infinity (AXS) and Decentraland (MANA).",Đức
Gas,"On-chain gas usually refers to the cost associated with an on-chain transaction or a cost incurred during a transaction on the network. Different blockchains have different currencies they utilize as gas. During different conditions, usage costs can fluctuate up and down, but it mostly depends on how busy the network is. An entire blockchain therefore shares the same gas currency. For example, the Fantom network uses FTM as its on-chain gas and Solana uses SOL.",Martin
Gate.io Launchpad,"The Gate.io Launchpad belongs to the Gate.io exchange, which is a crypto-trading platform founded in 2013. Gate.io is ranked among the top 10 crypto exchanges in the world based on trading volume. It specializes in offering assets with a high rate of return and superior quality. Through their Gate.io Launchpad, cryptocurrency projects can raise capital for their tokens and jump-start their careers. Besides their native currency (GT) the ecosystem hosts a number of great token in its ecosystem such as METIS or DAO.",Martin
Gold,"Similar to stablecoins, gold-backed cryptocurrencies like PAX Gold and Tether Gold operate through digital tokens which are registered on the blockchain. A standard gold token is its value pegged to one troy ounce. Cryptocurrency holders thus gain benefits from both the physical attributes of gold and digital assets. ",Martin
Governance,"Tokens that represent voting power on a blockchain project are called governance tokens. Tokens play a significant role in maintaining the decentralization element in the DeFi sector. Owners of government tokens can vote and shape the future of their projects. For example, they can accept or decline a proposed improvement or even propose their own ideas.  Popular tokens include UNI, ANT, AAVE etc.",Martin
Guilds,"Guilds are a community of blockchain players/gamers. These users collaborate and work together in different metaverses and play-to-earn games to achieve a common goal. Coins under this category include GamerCoin (GHX), a native utility token of the GamerHash platform, or GuildFi (GF) a Web 3 platform that is built to connect players, games, and investors ",Martin
Heco Ecosystem,"Huobi ECO Chain (also known as Heco) is an open-source Blockchain platform that is highly efficient and developed by the well-known Huobi exchange. HECO lets Ethereum developers quickly switch into developer mode, enabling them to easily integrate smart contracts. With its PoS mechanism, HECO is capable of handling over 500 transactions per second. In addition to Huobi's native token (HT), you can find other quality coins on their exchange, such as Mdex (MDX), an automated market maker for users and developers that enables a low slippage of trades and promotes high market depth and yields for market makers and liquidity providers.",Martin
Huobi Launchpad,"With Huobi Launchpad, also known as Huobi Prime, users can order token allocations prior to the tokens appearing on the exchange. Users must hold Huobi Tokens (HT) in order to participate. The launchpad is owned by Huobi Global, a global provider of Bitcoin and other cryptocurrencies.",Martin
Ignition IDO,"Ignition, a PAID Network-based Initial DEX Offering (IDO) platform, offers an easy platform to swap tokens and grow the community at large. It is a decentralized exchange protocol designed to offer private and public swaps on the blockchain for Ethereum, Binance Smart Chain, and Polkadot. ",Martin
Infrastructure,"Infrastructure coins, in contrast to normal cryptocurrencies, serve the purpose of facilitating blockchain development and blockchain-related applications and encourage the growth of the sector. Such cryptos offer their services to traditional markets too, in some cases going beyond the cryptocurrency sphere. These include coins such as FTM or RUNE.",Martin
Insurance,"NFTs are non-fungible tokens that represent a unique digital representation of a particular asset. These assets typically come in the form of pictures, GIFs, videos, or music. Even though NFTs have exploded in the art scene, they have many other applications, specifically in gaming and Play To Earn. This has been proven by games like Axie Infinity, The Sandbox, or Gods Unchained.",Martin
IOT,"The Internet of Things (IOT) allows devices to connect to private blockchain networks to create tamper-proof records of shared transactions. You can share and access IoT data with your partners using IBM Blockchain - without relying on centralized management and control. All permissioned network members can verify each transaction to prevent disputes and build trust. The most striking projects in this category include IOTX, whose blockchain has been built from scratch using the innovative Roll-DPoS consensus system, or VET, Vechain's native token.",Martin
Kucoin Launchpad,"The KuCoin exchange offers buyers and sellers the capability to trade and buy cryptocurrencies. Platform features include margin trading, futures trading, and peer-to-peer (P2P) trading. Customers also have the option of lending or staking their cryptocurrency to earn rewards. A new launchpad for projects on the KuCoin Smart Chain has also been launched on the exchange and is now called Kucoin Launchpad. Projects that are worthy of public backing can raise money by exchanging tokens for cash using this service. The ecosystem includes coins like Velo (VELO), a bridge asset linking traditional assets to digital credits, or Coti (COTI), a DAG protocol designed for building decentralized payment networks and stablecoins.",Martin
Kusama Ecosystem,"Kusama is Polkadot's public pre-production environment, which allows anyone to experiment with and test any new blockchain or application before it is made public. Kusama therefore serves as a kind of sandbox for developers interested in testing early Polkadot projects. However, the crypto is actually traded publicly. Kusama is also used to test official Polkadot upgrades before they are released. The main projects in its ecosystem includes coins like Moonriver (MOVR), which provides a full Ethereum-like environment.",Martin
Launchpad,The purpose of launchpads is to provide crypto projects with a way of raising capital for their token through a platform that is already widely used. Among the most popular and successful launchpads in this category are crypto projects such as Raydium and Tenset. Projects that go through a launchpad are subjected to due diligence to ensure their authenticity and trustworthiness. ,Martin
Launchpool IDO,"Poolz IDO is a decentralized cross-chain Initial DEX Offering platform that empowers crypto startups to launch their coins via decentralized liquidity exchange. Built on Web 3.0 infrastructure, Poolz IDO helps projects raise money and investors to get early-staged access. Cryptos listed in this categories are associated with Poolz IDO, like Netvrk and SingularityDAO.",Martin
Layer-2,"Layer 2 is a second protocol or framework layered over an existing blockchain network. Despite the fact that most major cryptocurrency networks are facing difficulties in scalability and speed, layer-2 tokens like Polygon aim to solve those problems.",Martin
Lending Platform,"With lending platforms such as Aave or Maker, users can receive loans in liquid funds, such as stablecoins, without selling their virtual currency, by pledging their crypto as collateral. The collateral serves as a form of insurance. Users typically take out collateralized cryptocurrency loans either due to a need for quick liquidity or because they anticipate an increase in future cryptocurrency value.",Martin
Leverage,"The term leverage refers to situations in which borrowed funds are used to finance an investment. Traders have to deposit stablecoins in order to open a leveraged position on a lending platform. By using leverage, a trader can increase his or her opening position size and magnify his or her initial deposit. In this way, the expected profit can be multiplied by a number of times. The situation may be reversed if the opposite occurs. If there are insufficient funds to cover the losses, your position may be liquidated. The main coins that fall under the leverage category are ETHBULL and ETH2X-FLI.",Martin
Media,"The media category is comprised of crypto projects such as Theta or Tron and other blockchains that engage in communications through mediums such as news, movies, music, or promotional messages.",Martin
Multi-Chain Platform,"Formerly known as Anyswap, the MultiChain blockchain platform provides the ability to create and deploy private blockchains within or among various organizations. In addition, financial transactions can be performed using the platform's API and command-line interface. Users can swap different coins through different mainnets. The platform supports over 25 different blockchains including mainnets such as Ethereum, Bitcoin, Terra, etc.",Martin
Narnia,"Narnia is one of the largest Russian-speaking crypto communities on Telegram. The group is also known as Crypto Narnia and it is a speculative social community that shares anything from crypto-related analytics to memes. You'll find well-known coins in this category such as BNB, AVAX, or SOL.",Martin
NFT,"NFTs are non-fungible tokens that represent a unique digital representation of a particular asset. These assets typically come in the form of pictures, GIFs, videos, or music. Even though NFTs have exploded in the art scene, they have many other applications, specifically in gaming and Play To Earn.",Martin
Nodes,"‘Node’ refers to a point of intersection in a network, or a computer connected to a chain of other computers. Thus, nodes are vital for the running of any blockchains. If a computer hosts and synchronises a copy of the entire blockchain, it’s called a ‘full node’.‘Node’ refers to a point of intersection in a network, or a computer connected to a chain of other computers. Thus, nodes are vital for the running of any blockchains. If a computer hosts and synchronises a copy of the entire blockchain, it’s called a ‘full node’. Some of the coins under this category are Horizen, Flux and Syscoin.",Huy
Oracle,"Oracle is a tool that provides people with reliable data and information from the outside world like stock market prices. Oracle uses smart contracts to transfer these data onto the blockchain. This category is reserved for Oracle-related cryptocurrencies, such as Chainlink or Keep3rV1.",Huy
PancakeSwap IDO,"PancakeSwap is a decentralized exchange, or an automated market maker (AMM) operating on Binance Smart Chain. PancakeSwap IDO is the platform’s Initial Dex Offering, used to help crypto projects to raise capital. Because of the decentralized nature of the platform, participating projects as well as investors benefit from fair trading and automatic liquidity. Examples of cryptos associated with PancakeSwap IDO are Hot Cross, Kalmar and Belt.",Huy
Perpetual,"Perpetual is a protocol made with the goal of bringing democracy to powerful trading tools since leveraged derivatives trading used to be exclusive for centralized entities. Thus, Perpetual aims to provide these instruments for everyone. Coins related to Perpetual are listed in this category, such as Injective and FutureSwap, both being variants of a decentralized market.",Huy
Polkadot Ecosystem,"Polkadot is famously referred to as the ‘blockchain of blockchains’. This is because it is a multichain used for connecting different blockchains into one network, each one working parallel with the others. Currently, the multichain consists of almost 100 blockchains, creating an unprecedented level of scalability and speed. For instance, some of the coins in the Polkadot Ecosystem are Moonriver, Origin Trail and RMRK.",Huy
Polkastarter IDO,"Polkastarter IDO is the Initial DEX Offering of Polkadot, a platform to give exposure to new projects. Listed projects can raise funds and grow their audience while investors can get access to early-staged promising projects. To get whitelisted for the event, it’s required that participants hold a certain number of POLS. Polkastarter IDO has listed projects such as SuperFarm and Wilder World.",Huy
Polygon Ecosystem,"Polygon is a platform designed for Ethereum scaling and infrastructure development. Polygon relies mainly on Polygon SDK, a flexible framework that enables building and connecting Secured Chains like Optimistic Rollups, zkRollups, Validium… and Standalone Chains like Polygon POS. The Polygon Ecosystem is a large one, including Polygon, Decentraland, Gala and many other cryptocurrencies.",Huy
Poolz IDO,"Poolz IDO is a decentralized cross-chain Initial DEX Offering platform that empowers crypto startups to launch their coins via decentralized liquidity exchange. Built on Web 3.0 infrastructure, Poolz IDO helps projects raise money and investors to get early-staged access. Cryptos listed in this categories are associated with Poolz IDO, like Netvrk and SingularityDAO.",Huy
Predictions,"The prediction market is like a smart-contract-powered version of betting. People can trade contracts whose prices are paid depending on a future event, such as who will win the next Super Bowl. The amount of the payout is based on how unpredictable the outcome of such events is. Some projects listed in this categories are Gnosis, Augur and Kleros.",Huy
Privacy Coin,"Privacy coins, like the name suggests, aim to bring as much privacy as possible to the identity of the users. Although built using a public network, these coins can still hide the names, wallet addresses, balances and transaction amounts of the sender and receiver. They achieve this partly by mixing multiple transactions into one. The most famous privacy coins are Dash, Horizon and DigiByte.",Huy
Protocol,"This is a category for coins with blockchain protocol technology, which greatly establishes the structures of the blockchain in a way that data has to follow a set of rules for it to be shared between computers. Examples of coins under the protocol category are Hedera, Elrond, and BitTorrent.",Huy
Rebase Tokens,A rebase token uses smart contracts to automate its circulating supply. So the supply can expand or contract depending on changes in token price. Cryptocurrencies related to Rebase include Olympus and Redacted Cartel.,Huy
Social,Social projects and applications such as Helium and Decentralized Social are interactive and communication-based. Their main aim is to serve as a medium for connecting creators with advertisers and publishers.,Martin
Software,"This category includes projects such as Loopring or The Graph that are involved in the creation, implementation, or programming of crypto-related applications. This is an application, script, or program that runs on a device such as a PC, mobile phone, tablet, or other smart devices. Examples of blockchain-enabled software development include identity verification, workflow optimization, dev tooling, and data management.",Martin
Sport,"This category covers all aspects of physical and mental wellness related to crypto projects and blockchains. For example, football clubs can issue tokens (fan tokens) in which owners can vote on the club's future, or a platform can sell NFT tokens. ",Martin
Stablecoin,"Stablecoins are cryptocurrencies that are backed by a reserve asset and aim to provide price stability. In recent years, stablecoins have gained popularity due to their ability to combine the benefits of cryptocurrency and fiat currency—instant processing and security of payments, and stable value without volatility.",Đức
Storage,"Cryptocurrencies and blockchain projects in this category are protocols that provide incentives for users to provide unused hard disk storage space to the community. In comparison to centralized cloud storages, blockchain storage projects like BitTorrent (BTT) and Filecoin (FIL) are cheaper, safer, and more reliable.",Martin
Wallet,Here you can find projects and blockchains focusing on the development and application of crypto-wallet software. These projects aim to simplify wallet use and make them safer so they can handle multiple cryptocurrencies. Listed below are projects such as Cronos (CRO) and Elrond (EGLD) among other coins which fit this description.,Martin
Wrapped Token,"The term ""wrapped tokens"" refers to tokens that are pegged to a particular cryptocurrency but are able to be used on other blockchain networks. Essentially, you can think of wrapped tokens as stablecoins' siblings. As an example, wrapped bitcoin, or WBTC, is derived from the BTC price but in addition, they're compatible with the Ethereum network. Other examples of wrapped coins are WCFG and WNXM.",Martin
xDAI Ecosystem,"Ethereum sidechain xDai Chain offers low gas prices, 5-second block times, and its own native token, xDai which is stablecoin pegged to the dollar. xDai Chain is based on the delegated Proof-of-Stake architecture POSDAO, which was developed through a collaboration between POA Network and MakerDAO. This chain has the advantage of being extremely fast, extremely cheap, and requiring only one token (xDai) for transactions.",Martin
Yearn Ecosystem,Yearn.finance (YFI) is a group of protocols that runs on the Ethereum blockchain and enables users to lend and trade digital assets in order to maximize their earnings. Yearn products such as Sushi are all designed to provide a simple and intuitive interface to DeFi in general.,Martin
Yield Aggregator,"Yield aggregator platforms such as Beefy.Finance and Convex Finance combine multiple farms in one place for the purpose of making farming easier. There are a lot of new farms popping up on the market, and moving back and forth from farm to farm can be tedious. Yield aggregators automate this process in order to optimize yield farming for their users.",Martin
Yield Farming,"Yield farming refers to the practice of cryptocurrency traders investing in the DeFi market through exchange platforms such as Uniswap or PancakeSwap and earning a fixed or variable return. In order to become a liquidity provider, cryptocurrency holders need to lock up their crypto in a liquidity pool for a particular cryptocurrency pair. Participants in this market, such as traders, pay a certain exchange fee every time they trade one crypto for another. Those fees are then shared between liquidity providers. DeFi facilitates yield farming with smart contracts - a type of code that automates the process of financial agreements between participants. These smart contracts can be further modified into different variations such as yield aggregators",Martin
Zendit IDO,"An IDO (Initial Dex Offering) allows promising projects to raise funding for their operations from the public via an online platform. Zendit is the IDO and product of MANTRA DAO, a community-governed DeFi platform. Zendit acts as a launchpad that distributes tokens fairly among members of the community. It has helped to raise funds for tokens such as SingularityDAO (SDAO) and Polkafoundry (PKF).",Martin
Move To Earn,"Move-To-Earn (ME2) is the gamification of exercise similar to apps like Pokemon GO except in a classic crypto play-to-earn fashion (P2E). The concept is a combination of GameFi, SocialFi, and NFT. Projects like StepN, Green Satoshi Token, Genopets, etc., which provide cryptocurrency rewards rather than meaningless video game points to players who maintain a healthy lifestyle.",Martin
